Rk,Player,,,Team,Conf,Min%,PRPG!,BPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,,3P/100,3P,
46,So,5-9,Dani Carnegie,Georgia,SEC,82.6,5.7,10.7,109.6,80.4,25.8,51.8,55.9,2.2,15.3,20,15.4,0.2,2.4,23.4,113-224,0.504,12.6,84-237,0.354
47,Sr,5-10,Madison St. Rose,Princeton,Ivy,73.4,5.7,5.7,113.4,90.2,24.8,51.9,56.9,5.7,11.3,14.7,15.4,0.5,2.1,36.5,133-237,0.561,6.6,27-97,0.278
48,Sr,6-4,Grace Sullivan,Northwestern,B10,81.5,5.7,5.7,104.1,93.4,28,53,56.1,5,15.5,9.4,12.7,2.3,1.8,22,258-486,0.531,0.1,0-1,0
49,So,5-8,Kiyomi McMiller,Penn St.,B10,82.4,5.7,4.5,96.7,93.6,34.3,48.6,50.8,1.9,14.4,30,20.5,0.8,2.9,16.5,218-459,0.475,6.4,41-116,0.353
50,Jr,5-6,Halli Poock,Murray St.,MVC,81.1,5.7,4.4,112.6,101.2,31,49.8,56.1,1.6,6.9,27.9,14.8,0.4,1.2,37.3,175-360,0.486,10.9,80-232,0.345
51,Jr,6-0,Mikaylah Williams,LSU,SEC,71.3,5.6,13,122.7,73.2,20.2,57.5,61.3,3.1,14.9,17.9,21.1,0.6,2.5,25.5,135-246,0.549,6.1,50-119,0.42
52,Sr,5-3,Ny'Ceara Pryor,Texas A&M,SEC,83.3,5.6,12.3,100.1,78.4,29.2,44.5,49.5,2.2,10.9,52.4,19.1,0.6,5.9,49.7,138-313,0.441,3.1,16-51,0.314
53,So,5-7,Jasmine Bascoe,Villanova,BE,81.3,5.6,7,98.1,80.7,33.4,44.9,47.9,2.8,11.4,32.8,14.5,0.4,3.4,14.2,184-392,0.469,11.7,61-221,0.276
54,So,6-2,Toby Fournier,Duke,ACC,71.6,5.5,12.4,108.1,70.5,27.3,54.6,56.5,10.1,19,9.3,15.8,6.7,1.7,45.7,224-406,0.552,2.9,18-54,0.333
55,So,5-9,Avery Mills,Liberty,CUSA,65.3,5.5,8.1,120.2,95.4,22.2,57.9,61.7,3.1,11.2,16.4,16.3,0.9,1.8,24.2,45-104,0.433,13.9,77-173,0.445
56,So,5-10,Hannah Wickstrom,UC Riverside,BW,77.5,5.5,9.1,104.8,90.8,32.7,51.7,57.4,4.3,19.1,26.7,16.9,0.7,4,33.5,176-336,0.524,8.3,45-135,0.333
57,Jr,5-6,Kaety L'Amoreaux,Fairfield,MAAC,79.5,5.5,9.6,117.1,83.5,26.9,55.6,61.8,3.9,15.1,27.2,18.2,1.1,3.7,35.6,111-196,0.566,11.2,74-203,0.365
58,Sr,5-6,Jordan Harrison,West Virginia,B12,76.3,5.5,12.7,112.6,71.1,22.6,50.3,57.2,2.8,9.8,30.4,22,0,5.7,41.1,114-215,0.53,6.1,35-116,0.302
59,Sr,5-11,Kara Dunn,USC,B10,79.9,5.5,10,112,78.1,20.8,57,59.3,5.3,11.9,13.3,16.3,1.1,2.2,21.7,106-185,0.573,10.3,71-188,0.378
60,Fr,6-1,Jazzy Davidson,USC,B10,85.9,5.4,11.8,98.1,73.6,28.8,45.5,48.6,3.9,13.9,27.3,17,5.4,3.2,21.1,157-341,0.46,10.1,59-199,0.296
61,So,6-4,Ava Heiden,Iowa,B10,63.7,5.4,14.3,114.7,71.5,27,64.1,66.2,6.6,24.4,14.5,18.5,5.1,2.6,27.7,264-410,0.644,0.1,0-2,0
62,Jr,6-3,Meredith Mayes,Abilene Christian,WAC,30.1,5.4,10.4,128.9,82.8,21.2,65.7,68.1,13.4,19.8,12.9,14.2,3,4.5,41.9,80-123,0.65,0.2,1-1,1
63,Fr,6-3,Lauren Whittaker,Gonzaga,WCC,64.7,5.4,11.1,115.5,80,30.9,57.3,62.2,10.9,32.5,11.8,19,1.5,2.8,39.9,205-351,0.584,6,33-93,0.355
64,So,5-4,Chazadi Wright,Iowa,B10,77.3,5.4,9.7,115.2,80.2,17.8,55,59.5,2,7.6,21.5,18.7,0.2,2.1,28.4,54-130,0.415,8.4,70-159,0.44
65,So,5-8,Madi Morson,Central Michigan,MAC,81.6,5.3,5.8,111.8,94.1,27.5,51.6,57.4,5,8.4,12,18.3,1,2.2,34.7,158-325,0.486,7.3,49-124,0.395
66,Jr,6-2,Khamil Pierre,N.C. State,ACC,78.6,5.3,7.8,105.3,77.3,26.5,52.6,54.9,11.5,26.4,8.5,17.4,1.7,1.8,21.1,233-440,0.53,0.3,1-6,0.167
